"total_sleep_time","cumulative_gpa","term_gpa","race","gender","firstgen","study"
7.20952381,3.892856357,3.833333,1,1,0,2
6.65583333333333,3.72,3.566666,1,1,0,2
8.11785714333333,3.7999995,3.766666,1,1,0,2
7.675641025,3.316666,3.233333,1,1,0,2
6.89464285666667,3.7499995,3.744444,1,1,0,2
7.17440476166667,4,3.966666,1,1,0,2
7.46474359,2.637930517,3.483333,0,1,0,2
7.25297619,3.645454394,3.83125,1,1,0,2
6.482738095,3.299999586,3.4,0,1,0,2
6.24074074,3.910714143,3.8,1,1,0,2
6.73958333333333,2.608695217,2.866666,1,1,0,2
7.25724637666667,3.1999995,2.9,1,1,0,2
7.28560606,3.08,3.633333,1,1,0,2
7.02738095166667,3.865,3.87,1,1,0,3
7.23611111166667,3.458,3.29,1,1,0,3
6.500694445,3.2928125,3.76,1,1,0,3
6.774305555,2.958275862,2.8,1,1,0,3
7.66956521666667,2.625,3,1,1,0,3
6.90652173833333,3.05,3.25,1,1,0,3
5.95357142833333,2.822222222,2.68,1,1,0,3
6.87692307666667,3.695517241,3.84,1,1,0,3
8.08580246833333,3.702,3.79,1,1,0,3
7.969444445,2.865,3.51,1,1,0,3
7.6,3.078888889,3.35,1,1,0,3
7.21547619,3.405,3.04,1,1,0,3
6.702,3.688928571,3.89,0,1,0,3
6.18703703666667,3.823235294,3.95,1,1,0,3
5.39047619,3.57,3.63,1,1,0,3
7.1375,3.726206897,3.59,1,1,0,3
5.823214285,2.98,3.07,1,1,0,3
7.260714285,3.775,3.7,1,1,0,3
7.48939394,3.500967742,3.47,1,1,0,3
6.46547619,2.947142857,3.33,1,1,0,3
8.11060606,3.0975,3.3,0,1,0,3
7.28641975333333,3.803333333,3.76,1,1,0,3
6.82469135833333,3.155454545,3.41,1,1,0,3
7.6,3.88,3.78,1,1,0,3
6.87948718,3.259655172,3.23,1,1,0,3
6.204761905,3.917419355,4,1,1,0,3
7.70714285666667,3.71,3.45,1,1,0,3
7.21851851833333,3.730625,3.95,0,1,0,3
7.28214285666667,3.57,3.49,1,1,0,3
6.48154761833333,3.240625,3.59,1,1,0,3
7.148039215,3.665862069,3.7,1,1,0,3
6.31521739166667,3.32037037,3.13,1,1,0,3
6.61078431333333,3.78,3.8,1,1,0,3
7.97533333333333,2.830833333,3.08,0,1,0,3
6.95384615333333,3.315,3.53,1,1,0,3
6.17797619,3.653703704,3.3,1,1,0,3
6.96474359,4,3.97,1,1,0,3
6.08333333333333,3.25,3.27,1,1,0,3
7.53271605,3.215,2.99,1,1,0,3
7.215384615,3.390357143,3.37,0,1,0,3
6.479012345,3.958857143,3.94,1,1,0,3
6.12407407333333,2.9,3,1,1,0,3
7.66011904833333,2.998,3.4,1,1,0,3
6.85833333333333,3.724117647,3.86,1,1,0,3
6.892,3.946428571,3.93,0,1,0,3
6.71543209833333,3.492258065,2.94,1,1,0,3
5.88024691333333,3.657272727,3.3,1,1,0,3
5.82619047666667,3.635,3.83,1,1,0,3
6.13712121166667,2.83,2.67,1,1,0,3
6.84285714333333,3.862592593,3.8,1,1,0,3
7.49266666666667,3.611,3.09,1,1,0,3
6.54642857166667,3.385,2.77,1,1,0,3
6.55705128166667,3.052727273,3,1,1,0,3
6.37916666666667,3.154482759,3.28,1,1,0,3
6.15448718,3.139259259,3.14,1,1,0,3
6.532098765,2.799130435,2.86,0,1,0,3
6.651785715,3.680625,3.17,1,1,0,3
4.97222222166667,3.88,3.52,1,1,0,3
6.78974359,3.601034483,3.63,0,1,0,3
7.27196969666667,3.948275862,3.91,0,1,0,3
6.72469135833333,3.363703704,3.01,1,1,0,3
7.25576923,3.625454545,3.49,1,1,0,3
7.42066666666667,3.196295815,3.9,1,0,0,2
6.03015873,3.9230765,4,1,0,0,2
6.175,3.555172069,3.56923,1,0,0,2
6.74666666666667,3.592856464,3.533333,1,0,0,2
7.320238095,3.744827034,3.838461,1,0,0,2
7.22083333333333,3.883333,3.9,1,0,0,2
6.18511904833333,3.466666182,3.608333,1,0,0,2
5.81604938333333,3.96,3.766666,1,0,0,2
5.623214285,3.8666665,3.566666,1,0,0,2
6.67083333333333,3.396551241,3.563636,1,0,0,2
6.65873015833333,3.082757931,2.477777,1,0,0,2
7.3125,3.2,3.038461,1,0,0,2
7.23888888833333,3.686206552,3.335714,1,0,0,2
7.27307692333333,3.54074037,3.233333,1,0,0,2
8.28076923,3.9041665,3.9,1,0,0,2
6.49567901166667,3.693102931,3.533333,0,0,0,2
6.66730769166667,3.590624313,3.366666,1,0,0,2
6.8,2.611110667,3.464285,1,0,0,2
6.434615385,3.7730765,3.866666,1,0,0,2
7.36547619,3.803333,3.944444,1,0,0,2
7.48666666666667,3.986842105,3.916666,1,0,0,2
7.06153846166667,3.239130435,3.633333,1,0,0,2
5.77857142833333,3.609374969,3.441176,1,0,0,2
4.79761904833333,3.421428286,2.91875,0,0,0,2
7.59333333333333,3.709090818,3.442857,1,0,0,2
5.49019607833333,3.269999433,2.894444,1,0,0,2
6.144444445,2.8999996,3.266666,1,0,0,2
5.89423077,3.880645161,4,1,0,0,2
6.479761905,3.8799996,3.666666,1,0,0,2
8.09761904833333,3.5299995,3.733333,1,0,0,2
6.73333333333333,2.983333,2.933333,0,0,0,2
6.55833333333333,3.886206586,3.866666,1,0,0,2
